case_id,tooth_id,total_expected,total_present,ratio,ratio_floor,margin_floor,margin_p20,margin_mean,presence_floor,presence_prob,forced,missing,fail_reasons
005,t35,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
005,t36,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
005,t37,12,0,0.0,0.6,0.48,,,0.25,,False,True,no_prediction
005,t41,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
005,t42,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
005,t43,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
005,t44,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
005,t45,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
005,t46,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
005,t47,12,0,0.0,0.6,0.48,,,0.25,,False,True,no_prediction
006,t11,7,7,1.0,0.7,0.55,0.5001665353775024,0.5007957816123962,0.25,,True,False,margin
006,t12,7,7,1.0,0.7,0.55,0.5001571178436279,0.5008059144020081,0.25,,True,False,margin
006,t13,5,5,1.0,0.7,0.55,0.5001787543296814,0.5006824135780334,0.25,,True,False,margin
006,t14,9,9,1.0,0.7,0.55,0.5001220107078552,0.5006846785545349,0.25,,True,False,margin
006,t15,9,9,1.0,0.7,0.55,0.5001881718635559,0.50065016746521,0.25,,True,False,margin
006,t16,12,12,1.0,0.7,0.55,0.5000744462013245,0.5004575848579407,0.25,,True,False,margin
006,t17,12,12,1.0,0.7,0.55,0.500216543674469,0.5007854700088501,0.25,,True,False,margin
006,t21,7,7,1.0,0.7,0.55,0.5001226663589478,0.5010985136032104,0.25,,True,False,margin
006,t22,7,7,1.0,0.7,0.55,0.5007357597351074,0.5017303228378296,0.25,,True,False,margin
006,t23,5,5,1.0,0.7,0.55,0.500289797782898,0.5020593404769897,0.25,,True,False,margin
006,t24,9,9,1.0,0.7,0.55,0.5012413263320923,0.5016842484474182,0.25,,True,False,margin
006,t25,9,9,1.0,0.7,0.55,0.5001245737075806,0.5006109476089478,0.25,,True,False,margin
006,t26,12,12,1.0,0.7,0.55,0.5002365112304688,0.5009470582008362,0.25,,True,False,margin
006,t27,12,12,1.0,0.6,0.48,0.5001444816589355,0.5009713172912598,0.25,,False,False,
006,t31,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
006,t32,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
006,t33,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
006,t34,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
006,t35,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
006,t36,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
006,t37,12,0,0.0,0.6,0.48,,,0.25,,False,True,no_prediction
006,t41,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
006,t42,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
006,t43,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
006,t44,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
006,t45,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
006,t46,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
006,t47,12,0,0.0,0.6,0.48,,,0.25,,False,True,no_prediction
007,t11,7,7,1.0,0.7,0.55,0.5008629560470581,0.50104159116745,0.25,,True,False,margin
007,t12,7,7,1.0,0.7,0.55,0.5001802444458008,0.5008609294891357,0.25,,True,False,margin
007,t13,5,4,0.8,0.7,0.55,0.5001407861709595,0.5003656148910522,0.25,,True,False,margin
007,t14,9,9,1.0,0.7,0.55,0.5001625418663025,0.5007962584495544,0.25,,True,False,margin
007,t15,9,8,0.8888888888888888,0.7,0.55,0.5002738833427429,0.5003852844238281,0.25,,True,False,margin
007,t16,12,12,1.0,0.7,0.55,0.5001903772354126,0.5007742047309875,0.25,,True,False,margin
007,t17,12,12,1.0,0.7,0.55,0.5001910924911499,0.5013017654418945,0.25,,True,False,margin
007,t21,7,7,1.0,0.7,0.55,0.5002661347389221,0.5010668039321899,0.25,,True,False,margin
007,t22,7,7,1.0,0.7,0.55,0.5001155734062195,0.500573456287384,0.25,,True,False,margin
007,t23,5,5,1.0,0.7,0.55,0.5001484751701355,0.5009285807609558,0.25,,True,False,margin
007,t24,9,9,1.0,0.7,0.55,0.500497579574585,0.5011789798736572,0.25,,True,False,margin
007,t25,9,7,0.7777777777777778,0.7,0.55,0.5006890892982483,0.5028175115585327,0.25,,True,False,margin
007,t26,12,11,0.9166666666666666,0.7,0.55,0.5004987120628357,0.5012317299842834,0.25,,True,False,margin
007,t27,12,11,0.9166666666666666,0.6,0.48,0.5005477666854858,0.5021241903305054,0.25,,False,False,
007,t31,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
007,t32,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
007,t33,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
007,t34,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
007,t35,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
007,t36,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
007,t37,12,0,0.0,0.6,0.48,,,0.25,,False,True,no_prediction
007,t41,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
007,t42,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
007,t43,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
007,t44,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
007,t45,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
007,t46,12,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
007,t47,12,0,0.0,0.6,0.48,,,0.25,,False,True,no_prediction
008,t11,7,7,1.0,0.7,0.55,0.5001726150512695,0.5005441308021545,0.25,,True,False,margin
008,t12,7,7,1.0,0.7,0.55,0.5002230405807495,0.5011414885520935,0.25,,True,False,margin
008,t13,5,5,1.0,0.7,0.55,0.5000134110450745,0.5001076459884644,0.25,,True,False,margin
008,t14,9,9,1.0,0.7,0.55,0.5001989006996155,0.5010072588920593,0.25,,True,False,margin
008,t15,9,9,1.0,0.7,0.55,0.500090479850769,0.5005119442939758,0.25,,True,False,margin
008,t16,12,12,1.0,0.7,0.55,0.5005040764808655,0.5011608004570007,0.25,,True,False,margin
008,t17,12,12,1.0,0.7,0.55,0.500057578086853,0.5006970763206482,0.25,,True,False,margin
008,t21,7,7,1.0,0.7,0.55,0.5001606345176697,0.501305341720581,0.25,,True,False,margin
008,t22,7,7,1.0,0.7,0.55,0.5005958676338196,0.501042902469635,0.25,,True,False,margin
008,t23,5,5,1.0,0.7,0.55,0.500132143497467,0.5012115836143494,0.25,,True,False,margin
008,t24,9,9,1.0,0.7,0.55,0.501104474067688,0.5018396973609924,0.25,,True,False,margin
008,t25,9,9,1.0,0.7,0.55,0.5003389120101929,0.5008127689361572,0.25,,True,False,margin
008,t26,12,12,1.0,0.7,0.55,0.5003892779350281,0.5011095404624939,0.25,,True,False,margin
008,t27,12,12,1.0,0.6,0.48,0.500217616558075,0.5010325908660889,0.25,,False,False,
008,t31,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
008,t32,7,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
008,t33,5,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
008,t34,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
008,t35,9,0,0.0,0.7,0.55,,,0.25,,False,True,no_prediction
