case_id,tooth_id,total_expected,total_present,min_valid,margin_floor,margin_min,margin_mean,presence_floor,presence_prob,forced,missing,fail_reasons
007,t37,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
007,t41,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t42,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t43,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t44,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t45,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t46,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
007,t47,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
008,t11,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t12,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t13,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t14,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t15,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t16,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t17,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t21,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t22,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t23,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t24,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t25,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t26,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t27,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
008,t31,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t32,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t33,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t34,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t35,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t36,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t37,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
008,t41,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t42,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t43,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t44,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t45,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t46,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
008,t47,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
009,t11,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t12,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t13,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t14,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t15,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t16,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t17,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t21,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t22,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t23,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t24,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t25,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t26,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t27,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
009,t31,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t32,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t33,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t34,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t35,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t36,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t37,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
009,t41,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t42,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t43,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t44,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t45,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t46,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
009,t47,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
010,t11,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
